RefSeq/Protein ID	Product
WP_000914414.1	hypothetical protein
WP_003171438.1	hypothetical protein
WP_000453400.1	nuclease-related domain-containing protein
WP_003159741.1	hypothetical protein
WP_000916417.1	hypothetical protein
WP_002194483.1	hypothetical protein
WP_000817910.1	hypothetical protein
WP_001024818.1	hypothetical protein
WP_000494355.1	hypothetical protein
WP_000938772.1	ATP-dependent helicase
WP_001099011.1	group II intron reverse transcriptase/maturase
WP_003161642.1	hypothetical protein
WP_000114823.1	hypothetical protein
WP_001236413.1	DUF6094 domain-containing protein
WP_000425336.1	hypothetical protein
WP_000710698.1	DUF6018 family natural product bioysynthesis protein
WP_000793410.1	hypothetical protein
WP_001074482.1	SIR2 family protein
WP_000413217.1	helix-turn-helix transcriptional regulator
WP_000827869.1	hypothetical protein
WP_000520265.1	hypothetical protein
WP_001006036.1	site-specific integrase
WP_016095208.1	hypothetical protein
WP_001118290.1	hypothetical protein
WP_016095209.1	phosphoadenosine phosphosulfate reductase family protein
WP_000401613.1	HEPN domain-containing protein
WP_001014144.1	group II intron reverse transcriptase/maturase
WP_000282355.1	nucleotidyltransferase domain-containing protein
WP_000022108.1	hypothetical protein
WP_000153861.1	hypothetical protein
WP_000633828.1	hypothetical protein
WP_003159767.1	hypothetical protein
WP_000275737.1	hypothetical protein
WP_000340806.1	ATP-binding protein
WP_001259112.1	hypothetical protein
WP_000796705.1	hypothetical protein
WP_000581648.1	nucleotidyltransferase domain-containing protein
WP_000124744.1	TetR/AcrR family transcriptional regulator
WP_010890003.1	IS4-like element IS231R family transposase
WP_003159795.1	hypothetical protein
WP_003171532.1	Abi family protein
WP_000908384.1	GNAT family N-acetyltransferase
WP_001056966.1	IS4-like element IS231S family transposase
WP_001054007.1	IS4 family transposase
WP_000435025.1	hypothetical protein
WP_001978086.1	helix-turn-helix transcriptional regulator
WP_000264966.1	hypothetical protein
WP_001104326.1	hypothetical protein
WP_000447316.1	DNA translocase FtsK
WP_001053154.1	hypothetical protein
WP_000837861.1	replication-relaxation family protein
WP_000918302.1	plasmid replication protein RepX
WP_002194758.1	hypothetical protein
WP_000564672.1	MerR family transcriptional regulator
WP_000267219.1	hypothetical protein
WP_016095237.1	hypothetical protein
WP_000557418.1	hypothetical protein
WP_001002930.1	hypothetical protein
WP_000913729.1	hypothetical protein
WP_001168874.1	hypothetical protein
WP_001181740.1	DUF4320 family protein
WP_003159838.1	S-layer homology domain-containing protein
WP_000776681.1	hypothetical protein
