RefSeq/Protein ID	Product
WP_000537238.1	hypothetical protein
WP_001027044.1	UDP-glucose/GDP-mannose dehydrogenase family protein
WP_000702223.1	UTP--glucose-1-phosphate uridylyltransferase GalU
WP_042514106.1	hyaluronan synthase HasA
WP_076611934.1	IS3 family transposase
WP_076611614.1	IS3 family transposase
WP_000481542.1	phosphatase PAP2 family protein
WP_000746296.1	S-layer homology domain-containing protein
WP_003163472.1	hypothetical protein
WP_000912148.1	NEAT domain-containing protein
WP_000725576.1	thioredoxin family protein
WP_001186855.1	DUF418 domain-containing protein
WP_000094349.1	CPBP family intramembrane glutamic endopeptidase
WP_000805073.1	hypothetical protein
WP_003159747.1	DUF2325 domain-containing protein
WP_001242516.1	hypothetical protein
WP_000720692.1	hypothetical protein
WP_000019180.1	lysozyme family protein
WP_016078539.1	type IV secretion system protein
WP_000765105.1	VirB4 family type IV secretion system protein
WP_000891997.1	hypothetical protein
WP_001233519.1	PrgI family mobile element protein
WP_025986961.1	hypothetical protein
WP_001169887.1	hypothetical protein
WP_000026994.1	hypothetical protein
WP_001053646.1	Rpn family recombination-promoting nuclease/putative transposase
WP_001108749.1	DUF3854 domain-containing protein
WP_000784218.1	hypothetical protein
WP_001088470.1	hypothetical protein
WP_000029698.1	hypothetical protein
WP_017762538.1	WxL domain-containing protein
WP_000844614.1	DUF916 and DUF3324 domain-containing protein
WP_001212544.1	WxL domain-containing protein
WP_000879954.1	hypothetical protein
WP_000879956.1	hypothetical protein
WP_000956355.1	hypothetical protein
WP_000201164.1	hypothetical protein
WP_000287087.1	type II secretion system F family protein
WP_000264598.1	CpaF family protein
WP_000375827.1	AAA family ATPase
WP_000804776.1	Flp pilus assembly protein CpaB
WP_000353184.1	hypothetical protein
WP_000358419.1	hypothetical protein
WP_003163494.1	hypothetical protein
WP_003163497.1	S-layer homology domain-containing protein
WP_001181740.1	DUF4320 family protein
WP_001168874.1	hypothetical protein
WP_000913729.1	hypothetical protein
WP_001002930.1	hypothetical protein
WP_000557418.1	hypothetical protein
WP_016095237.1	hypothetical protein
WP_000267219.1	hypothetical protein
WP_000564661.1	DUF3967 domain-containing protein
WP_002194758.1	hypothetical protein
WP_000918302.1	plasmid replication protein RepX
WP_000837860.1	replication-relaxation family protein
WP_001053154.1	hypothetical protein
WP_000447316.1	DNA translocase FtsK
WP_001104326.1	hypothetical protein
WP_000264966.1	hypothetical protein
WP_001978086.1	helix-turn-helix transcriptional regulator
WP_000435025.1	hypothetical protein
WP_010890003.1	IS4 family transposase
WP_001056966.1	IS4-like element IS231S family transposase
WP_000908384.1	GNAT family N-acetyltransferase
WP_000337109.1	Abi family protein
WP_086558088.1	IS4 family transposase
WP_000124744.1	TetR/AcrR family transcriptional regulator
